ranking.2017,ranking.2016,ranking.2015,ranking.3-year.average,School.name,Country,Programme.name,Salary.today,Weighted.salary,Salary.percentage.increase,Value.for.money.rank,Career.progress.rank,Aims.achieved,Careers.service.rank,Employed.at.three.months,Female.faculty,Female.students,Women.on.board,International.faculty,International.students,International.board,International.mobility.rank,International.course.experience.rank,Languages,Faculty.with.doctorates,Maximum.course.fee,Course.length,Number.enrolled,Relevant.degree,Company.internships
66,66,66,66,University of Cologne Faculty of Management,Germany,MSc in Business Administration,75736,76680,35,25,37,85,88,77 (25),21,48,60,8,11,10,84,73,0,100,"1,044",24,275,No,20
67,63,69,66,EM Normandie,France,EM Normandie Master in Management,50310,50824,42,81,52,81,57,86 (64),47,50,40,31,24,27,37,30,1,76,"18,380",28,585,No,100
68,,,,Université Paris-Dauphine,France,Master in Management,56985,56985,24,8,91,85,38,n/a,41,72,62,21,23,75,28,67,1,94,"1,315",24,167,No,100
68,73,75,72,Warsaw School of Economics,Poland,Master in Management,48090,48090,89,19,29,83,86,93 (29),44,62,43,1,16,0,70,75,1,98,Zloty 0,23,198,No,3
70,70,68,69,Corvinus University of Budapest,Hungary,MSc in Management and Leadership,45853,45632,69,6,51,82,65,96 (63),44,55,11,8,10,61,67,45,1,83,"Ft1,580,000",21,249,No,21
71,,,,University of Victoria: Gustavson,Canada,Master of Global Business,46179,46179,43,63,65,80,83,72 (79),40,58,22,58,67,67,40,14,1,88,"C$29,597",14,52,Yes,100
71,69,67,69,Hanken School of Economics,Finland,MSc in Economics and Business Administration,52233,51772,33,5,72,82,82,97 (93),35,54,60,18,16,10,66,52,0,92,240,26,398,No,49
73,72,74,73,Lancaster University Management School,UK,MSc in Management,44148,44148,51,66,56,87,28,79 (48),31,54,42,54,63,42,77,79,0,95,"17,000",12,46,No,43
74,83,71,76,University of Bath School of Management,UK,MSc in Management,47040,47040,51,86,38,83,89,96 (83),32,62,29,64,63,29,78,82,0,100,"15,750",12,86,No,0
75,60,48,61,La Rochelle Business School,France,La Rochelle Master in Management,50866,50690,37,73,82,80,67,85 (68),56,63,33,50,18,50,60,5,2,69,"21,500",24,305,No,100
76,,,,Singapore Management University: Lee Kong Chian,Singapore,MSc in Management,55346,55346,36,91,84,81,69,69 (94),22,60,24,66,93,53,25,81,0,95,"S$39,500",12,127,No,0
77,71,73,74,BI Norwegian Business School,Norway,MSc in Business,63802,63618,38,36,87,85,58,98 (97),27,43,50,25,18,12,93,53,0,75,"NKr168,000",24,347,Yes,18
78,,,,Brunel Business School,UK,MSc in Management,44623,44623,61,93,28,88,48,n/a,34,58,25,56,94,0,48,87,0,95,"15,400",16,98,No,3
